REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x55d34786564fa9a8a57382da6743ccaeedbeadb104ad881c17dfb067a7af0f39', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'OM', 80000.0, 'eth', 2.1387291355426545, 1647237290]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xbc71e9644afd3a90624afaff8f2f16568a9e97a9a89dc70d61dbace85ff88548', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'OM', 80000.0, 'eth', 2.1355418492060516, 1647237238]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x1a035d987b497e829ac7e2da8e1d4d78c7345118516271eb14785462d20b61d6', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'OM', 80000.0, 'eth', 2.1424191606554217, 1647237124]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x9724e1c12fcf50ac9ef6e1eff9ba9afeaa0de831f5e46f97a402f77f2af28636', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'OM', 100000.0, 'eth', 2.6939759726753087, 1647237081]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x6e2ddfb0e29297a4847ebdd8e42d0c43d1d13e112b4cc201d110d2fbddf2209e', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.909502312248646, 1647236332]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x3bd774171f712131593245bf3dfd96a0dd22048cf857e164ab96396df1cfb669', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.9297141462156117, 1647236220]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x2ef8bac9ff1f05ae080989934365fd73082024f3c7d6b661f6db7c46d317e167', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 22000.0, 'eth', 6.509157753884392, 1647236053]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x7b8d2ec4bb20a4449b52ecea6ad9f21bcf1f408149490026e7368d4bc4a73093', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 200000.0, 'eth', 0.9589159332055297, 1647235936]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xb8618e6dc08aeec793d4e876a174f378314abedef539b8c17d581d641df83e6c', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'FRIN', 150000.0, 'eth', 0.7391841927676643, 1647235549]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x73b1e886ae5cfb3ca89ef48dd2606a2bac7d716552ec430b79e1db8f55d09da8', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 20000.0, 'eth', 5.932383077379253, 1647235377]
